EL_Inf,b,start.Time,Current.Time,Diff.Time,cores
0.343424143,118,15:06.0,17:49.1,2.718312716,64
0.422197296,119,15:06.6,17:52.1,2.758238816,64
0.159398082,120,15:08.2,18:24.0,3.262816584,64
0.688403475,121,15:10.3,18:25.5,3.253969407,64
0.509115584,122,15:13.9,18:12.8,2.980782362,64
0.287780114,123,15:16.6,18:13.0,2.940655287,64
0.170451007,124,15:16.9,17:51.6,2.578263927,64
0.183061013,125,15:18.0,18:11.0,2.884190488,64
0.133306008,126,15:23.1,17:59.9,2.614718401,64
0.019731962,127,16:31.8,19:19.4,2.792599777,64
0.236965015,128,16:36.5,19:19.7,2.719184268,64
0.107104334,129,16:37.1,19:37.3,3.002031887,64
0.763647415,130,16:42.5,19:29.9,2.79005177,64
0.209303831,131,16:42.9,19:21.5,2.644284829,64
0.268200071,132,16:48.6,19:40.3,2.860712516,64
0.332595072,133,16:48.7,19:27.7,2.650037952,64
0.699162038,134,16:51.5,19:29.7,2.637509596,64
1.187337427,135,16:52.1,19:28.7,2.610386157,64
0.083784797,136,16:53.7,19:32.2,2.641000485,64
0.136925296,137,16:54.7,19:30.2,2.591285686,64
0.202037514,138,16:55.8,19:45.5,2.828378582,64
0.122415975,139,16:55.9,19:52.9,2.950487471,64
0.761237291,140,16:57.0,19:59.6,3.043046665,64
0.238776311,141,16:57.0,20:01.8,3.080274089,64
0.547779974,142,17:00.4,19:49.8,2.822100608,64
0.245676676,143,17:01.2,19:38.6,2.622969611,64
0.286672239,144,17:02.5,19:40.8,2.637802056,64
0.200374544,145,17:05.5,19:47.4,2.698497526,64
0.42833512,146,17:10.2,20:03.4,2.886073919,64
1.056999314,147,17:10.3,19:54.0,2.728099255,64
0.368191285,148,17:11.6,20:24.6,3.216644772,64
0.154640256,149,17:15.9,20:05.1,2.81930991,64
0.304637385,150,17:16.3,20:16.2,2.998562098,64
0.803304492,151,17:16.7,20:09.8,2.886138785,64
0.426293869,152,17:16.7,20:18.5,3.029796048,64
2.766831748,153,17:17.9,20:06.0,2.801481513,64
0.092426028,154,17:18.4,20:08.5,2.834173008,64
0.190400001,155,17:19.6,20:06.7,2.784683561,64
0.354304504,156,17:20.4,20:14.9,2.909234766,64
1.179190145,157,17:20.8,20:17.3,2.942981195,64
1.30547016,158,17:20.9,20:23.0,3.035248137,64
0.436574057,159,17:20.9,20:27.3,3.107243272,64
0.723806475,160,17:21.7,20:09.9,2.802174699,64
0.065955659,161,17:22.2,20:16.4,2.903957216,64
0.316446695,162,17:23.9,20:09.2,2.754927417,64
0.162425089,163,17:25.6,20:23.0,2.956714201,64
0.028389887,164,17:27.7,20:10.6,2.715345943,64
2.497179163,165,17:28.8,20:16.9,2.802733111,64
0.181928121,166,17:30.4,20:29.7,2.988113344,64
0.307022723,167,17:30.6,20:29.5,2.981578334,64
0.72900488,168,17:32.4,20:20.3,2.798994215,64
0.185898292,169,17:36.2,20:22.4,2.769875785,64
0.413105082,170,17:36.8,20:13.1,2.604028547,64
0.208479976,171,17:38.5,20:31.5,2.88306663,64
0.721736378,172,17:40.0,20:16.3,2.603842449,64
0.360787752,173,17:40.4,20:36.3,2.930636565,64
0.538420111,174,17:42.4,20:44.0,3.02621541,64
0.20586848,175,17:43.2,20:36.8,2.893944108,64
0.41939147,176,17:45.3,20:25.0,2.66097583,64
0.226290334,177,17:46.1,20:31.3,2.753695607,64
0.187468162,178,17:49.2,20:26.7,2.625419939,64
0.227046817,179,17:49.8,20:29.9,2.668971845,64
0.078565075,180,17:51.6,20:30.9,2.656090323,64
0.158923833,181,17:52.2,20:58.4,3.10422227,64
0.080950577,182,17:53.9,20:30.0,2.601623269,64
0.246203786,183,17:58.4,21:00.6,3.036858634,64
0.400251959,184,18:00.0,20:41.6,2.694689286,64
0.273295909,185,18:11.0,20:55.9,2.747990795,64
0.094042871,186,18:12.8,21:13.5,3.011371406,64
0.209162038,187,18:13.1,20:53.3,2.670632927,64
0.240227674,188,18:24.0,21:31.2,3.119894095,64
0.342420781,189,18:25.6,21:35.0,3.157432278,64
0.036551514,190,19:19.4,22:07.9,2.807736977,64
0.374245735,191,19:19.7,22:09.3,2.827457142,64
0.241389188,192,19:21.6,22:03.6,2.700418099,64
0.109953336,193,19:27.7,22:10.3,2.709393819,64
0.21531093,194,19:28.8,22:04.6,2.597428922,64
0.703040803,195,19:29.7,22:08.1,2.639672792,64
0.676494057,196,19:29.9,22:16.4,2.774328641,64
0.311186453,197,19:30.2,22:16.6,2.77469902,64
0.35799404,198,19:32.2,22:11.7,2.658835443,64
0.26039782,199,19:37.3,22:36.8,2.99153351,64
0.421782485,200,19:38.6,22:21.1,2.708173641,64
0.473440012,201,19:40.3,22:19.9,2.65954231,64
0.531949088,202,19:40.8,22:35.3,2.907978996,64
0.614931889,203,19:45.6,22:27.5,2.699501363,64
0.209517487,204,19:47.5,22:36.5,2.816897949,64
0.66659047,205,19:49.8,22:41.6,2.864260848,64
0.068286195,206,19:52.9,22:48.4,2.924303059,64
0.250690144,207,19:54.0,22:39.6,2.759432757,64
0.182030243,208,19:59.6,22:57.8,2.97106518,64
0.093987907,209,20:01.9,23:08.2,3.105211786,64
0.234274253,210,20:03.4,22:43.6,2.669958913,64
0.417740973,211,20:05.1,22:58.9,2.896063272,64
0.211645114,212,20:06.0,22:55.8,2.830434338,64
0.179981025,213,20:06.7,23:01.3,2.908906698,64
0.306705931,214,20:08.5,23:10.9,3.038781099,64
1.727374688,215,20:09.2,22:46.7,2.624827754,64
0.207066328,216,20:09.8,22:54.5,2.744285385,64
0.114288146,217,20:09.9,22:55.1,2.754353694,64
0.624865143,218,20:10.7,22:53.1,2.707083889,64
0.936832157,219,20:13.1,22:46.9,2.563106549,64
0.265565352,220,20:15.0,23:04.1,2.81955841,64
0.485321644,221,20:16.2,22:58.9,2.711057981,64
0.219186234,222,20:16.3,22:49.0,2.545385361,64
0.744276622,223,20:16.4,23:11.2,2.913093404,64
0.113904054,224,20:17.0,23:20.2,3.054286146,64
0.493713364,225,20:17.4,23:06.7,2.822245204,64
0.230860131,226,20:18.5,23:16.4,2.963855024,64
0.116471501,227,20:20.3,23:13.4,2.884027632,64
0.618561691,228,20:22.4,23:05.2,2.713477687,64
0.98882708,229,20:23.0,23:13.4,2.838744597,64
0.77644884,230,20:23.1,23:03.2,2.669797858,64
0.533937131,231,20:24.6,23:25.6,3.017611237,64
0.515548796,232,20:25.0,23:21.8,2.946717004,64
0.42621352,233,20:26.7,23:01.6,2.581781264,64
0.279293667,234,20:27.4,23:33.0,3.094578898,64
0.288976656,235,20:29.6,23:06.5,2.615647388,64
0.117787845,236,20:29.7,23:16.9,2.786164669,64
0.173376213,237,20:29.9,23:07.0,2.617214247,64
1.088863135,238,20:30.0,23:03.7,2.562344845,64
0.280658976,239,20:31.0,23:07.0,2.601057327,64
0.151905157,240,20:31.4,23:19.3,2.798647316,64
0.34669966,241,20:31.5,23:20.7,2.820071224,64
0.477611223,242,20:36.3,23:30.9,2.910457464,64
0.423454649,243,20:36.9,23:42.0,3.08505071,64
1.308902186,244,20:41.7,23:24.1,2.708035815,64
0.047052587,245,20:44.0,23:44.5,3.008967626,64
1.280123391,246,20:53.3,23:42.7,2.822715751,64
0.04735728,247,20:55.9,23:45.6,2.827237256,64
0.185302304,248,20:58.4,23:49.9,2.85803771,64
0.468515684,249,21:00.6,24:01.1,3.007440519,64
0.475037287,250,21:13.5,24:01.8,2.805459193,64
0.935460192,251,21:31.2,24:30.6,2.989391895,64
0.098430181,252,21:35.0,24:35.8,3.012195524,64
0.142516898,253,22:03.6,24:42.8,2.652934436,64
0.255790438,254,22:04.6,24:58.5,2.898664991,64
0.497677542,255,22:07.9,25:00.4,2.874890804,64
0.933489727,256,22:08.1,24:43.9,2.595756606,64
0.16725392,257,22:09.4,24:46.5,2.618352898,64
0.80305154,258,22:10.3,24:49.2,2.649017906,64
0.451202804,259,22:11.8,24:58.4,2.776924972,64
0.095543751,260,22:16.4,24:59.4,2.716265047,64
1.882882239,261,22:16.7,25:04.5,2.79763511,64
0.959072796,262,22:19.9,24:55.1,2.586014513,64
0.077576225,263,22:21.1,24:53.8,2.544352965,64
0.117706933,264,22:27.5,25:17.6,2.834614519,64
0.314567001,265,22:35.3,25:22.2,2.781642079,64
0.226267309,266,22:36.5,25:24.9,2.807101822,64
0.257311525,267,22:36.8,25:37.1,3.005484811,64
1.750727565,268,22:39.6,25:19.7,2.667259725,64
0.214860732,269,22:41.7,25:32.4,2.846519673,64
0.279814096,270,22:43.7,25:37.5,2.896754964,64
0.19051102,271,22:46.7,25:25.3,2.642845575,64
0.417436409,272,22:46.9,25:20.1,2.553196478,64
0.469819854,273,22:48.4,25:36.9,2.807963872,64
0.073156612,274,22:49.0,25:33.5,2.740504018,64
0.614750955,275,22:53.1,25:34.0,2.682369848,64
0.126259867,276,22:54.5,25:53.4,2.981899655,64
0.562918331,277,22:55.2,25:44.7,2.825992346,64
0.37464229,278,22:55.8,25:41.7,2.76441282,64
0.628219115,279,22:57.9,25:54.8,2.948866395,64
0.061655926,280,22:58.9,25:59.3,3.00656987,64
1.012724846,281,22:58.9,25:33.9,2.58276157,64
0.450909258,282,23:01.3,26:00.7,2.990042059,64
0.286500888,283,23:01.6,25:40.6,2.648689961,64
0.202189222,284,23:03.3,25:52.6,2.821778572,64
0.234648205,285,23:03.7,25:49.3,2.758804079,64
0.221376811,286,23:04.2,25:54.7,2.842107884,64
0.61670331,287,23:05.3,25:49.7,2.740319196,64
0.457374541,288,23:06.5,25:38.7,2.535605212,64
0.101649189,289,23:06.7,25:56.7,2.833540046,64
0.749099415,290,23:07.0,25:59.1,2.869306334,64
0.186065464,291,23:07.0,25:43.1,2.601415177,64
0.24163084,292,23:08.2,26:11.6,3.056069744,64
0.135405855,293,23:10.9,26:12.7,3.03002104,64
0.402686863,294,23:11.2,26:06.9,2.927684879,64
0.575400935,295,23:13.4,26:05.5,2.867991908,64
0.254885698,296,23:13.4,26:06.2,2.879778385,64
0.185038063,297,23:16.4,26:24.9,3.142644385,64
0.887311313,298,23:16.9,26:10.6,2.895540524,64
0.196149953,299,23:19.3,25:52.3,2.550409265,64
0.293692959,300,23:20.3,26:23.7,3.057756488,64
1.406235739,301,23:20.7,26:12.2,2.857336525,64
0.914769709,302,23:21.8,26:07.5,2.762401573,64
1.093838234,303,23:24.2,26:15.2,2.850505491,64
0.294883738,304,23:25.7,26:37.0,3.188843322,64
0.075713868,305,23:30.9,26:18.5,2.793553364,64
0.48705613,306,23:33.1,26:32.3,2.988090734,64
0.688323924,307,23:42.0,26:30.5,2.808998923,64
0.09291765,308,23:42.7,26:26.3,2.726541058,64
0.352842741,309,23:44.6,26:41.8,2.954193429,64
0.191377796,310,23:45.6,26:38.5,2.88170011,64
0.2451678,311,23:49.9,26:40.8,2.848477793,64
0.557345778,312,24:01.1,26:51.2,2.83588411,64
0.084696389,313,24:01.8,26:48.4,2.776291227,64
1.486023121,314,24:30.6,27:24.4,2.896519943,64
0.336131295,315,24:35.8,27:31.9,2.935501897,64
0.364963177,316,24:42.8,27:21.3,2.641986489,64
0.441971804,317,24:43.9,27:20.8,2.615000602,64
1.225513523,318,24:46.5,27:22.5,2.601011248,64
0.253081043,319,24:49.3,27:37.5,2.80407387,64
0.064540366,320,24:53.8,27:32.9,2.652156035,64
2.375263781,321,24:55.1,27:30.6,2.591671729,64
0.285151443,322,24:58.4,27:34.8,2.605942245,64
0.281974366,323,24:58.6,27:51.3,2.878985866,64
0.256075416,324,24:59.4,27:52.1,2.877900986,64
0.515889128,325,25:00.4,27:50.8,2.840197845,64
0.453717067,326,25:04.5,27:53.5,2.816248441,64
0.471473046,327,25:17.6,28:07.9,2.837273427,64
0.908903149,328,25:19.7,27:58.3,2.644252165,64
0.204179029,329,25:20.1,27:56.5,2.606493096,64
0.467512197,330,25:22.2,28:06.4,2.736441112,64
0.357116883,331,25:24.9,28:11.2,2.770335054,64
0.706106236,332,25:25.3,28:09.3,2.733626656,64
0.278290883,333,25:32.5,28:14.4,2.69891336,64
0.718191551,334,25:33.5,28:09.9,2.606876389,64
0.317803213,335,25:33.9,28:10.5,2.610918212,64
0.723645736,336,25:34.1,28:33.6,2.991596166,64
0.152303209,337,25:36.9,28:14.9,2.634056048,64
0.358609529,338,25:37.1,28:32.6,2.924487623,64
0.122390112,339,25:37.5,28:29.3,2.862938615,64
0.45713902,340,25:38.7,28:31.0,2.872310483,64
0.219768195,341,25:40.6,28:20.1,2.657803543,64
0.201929249,342,25:41.7,28:28.4,2.778309325,64
0.296823483,343,25:43.2,28:17.9,2.579041632,64
0.223024615,344,25:44.7,28:45.5,3.012032139,64
0.440310033,345,25:49.3,28:27.1,2.629229645,64
0.24619339,346,25:49.7,28:28.6,2.648592405,64
0.539339778,347,25:52.3,28:48.6,2.937384903,64
0.595935797,348,25:52.6,28:42.4,2.830645279,64
0.162298949,349,25:53.5,28:50.7,2.954751853,64
0.408114908,350,25:54.7,28:58.8,3.068517749,64
0.373095536,351,25:54.8,28:54.3,2.991699477,64
0.325501871,352,25:56.8,28:37.4,2.678229503,64
0.477243914,353,25:59.2,28:53.1,2.898666747,64
0.150014227,354,25:59.3,29:12.1,3.213275266,64
0.292323674,355,26:00.7,29:01.3,3.009451262,64
0.622000222,356,26:05.5,28:48.7,2.720760739,64
0.312776825,357,26:06.2,28:42.0,2.595632537,64
0.378549975,358,26:06.9,29:03.7,2.945435282,64
0.268812596,359,26:07.6,28:56.2,2.810802591,64
0.296249107,360,26:10.6,28:55.0,2.739014343,64
0.6466193,361,26:11.6,29:09.3,2.961921275,64
0.083587583,362,26:12.2,28:51.5,2.655036394,64
0.683133121,363,26:12.7,29:03.2,2.841930632,64
0.747756322,364,26:15.2,29:02.2,2.78313959,64
0.754106843,365,26:18.6,29:20.7,3.035962828,64
0.08860124,366,26:23.7,29:12.9,2.820015967,64
0.863223995,367,26:25.0,29:26.1,3.01945107,64
0.674681158,368,26:26.3,29:19.2,2.881871863,64
0.870544255,369,26:30.5,29:20.2,2.828261248,64
0.409635483,370,26:32.4,29:41.8,3.157456144,64
0.056093533,371,26:37.0,29:35.0,2.966972272,64
0.332991311,372,26:38.5,29:27.3,2.812253678,64
0.554445519,373,26:40.9,29:29.4,2.808322668,64
0.254865796,374,26:41.8,29:40.5,2.978360871,64
0.676809177,375,26:48.4,29:49.7,3.021026059,64
0.065858867,376,26:51.3,29:38.6,2.788595927,64
1.882709548,377,27:20.8,30:05.6,2.746493344,64
0.186359767,378,27:21.4,30:03.4,2.700964109,64
0.850969716,379,27:22.6,29:58.8,2.603876845,64
0.942945367,380,27:24.4,30:12.5,2.800306869,64
0.079199884,381,27:30.6,30:09.9,2.654705381,64
0.104880006,382,27:31.9,30:25.4,2.890853341,64
0.408359671,383,27:32.9,30:06.3,2.555848376,64
0.452487396,384,27:34.8,30:12.7,2.631435053,64
0.751857327,385,27:37.5,30:15.5,2.633120139,64
0.401120551,386,27:50.9,30:31.3,2.673268429,64
0.070971597,387,27:51.3,30:26.2,2.581566699,64
0.197797533,388,27:52.1,30:36.3,2.736240753,64
0.28916673,389,27:53.5,30:30.8,2.621260587,64
0.241050648,390,27:56.5,30:31.0,2.57519484,64
0.150775661,391,27:58.4,30:34.3,2.598445185,64
0.238131762,392,28:06.4,30:45.0,2.643391279,64
0.34550013,393,28:07.9,30:52.4,2.741173716,64
0.250349042,394,28:09.4,30:44.6,2.587629795,64
0.570906863,395,28:09.9,30:40.0,2.50165327,64
0.3992527,396,28:10.6,30:58.6,2.801256251,64
0.613671292,397,28:11.2,30:55.2,2.733611671,64
0.205435533,398,28:14.4,30:52.8,2.63948822,64
1.260160254,399,28:15.0,30:48.2,2.553688268,64
0.66827074,400,28:17.9,30:57.5,2.659454902,64
0.199285416,401,28:20.1,30:55.2,2.58560071,64
0.229360948,402,28:27.1,31:05.2,2.635819356,64
0.408384283,403,28:28.4,31:20.7,2.870773904,64
0.370080436,404,28:28.6,31:04.4,2.596494492,64
1.941299118,405,28:29.3,31:17.8,2.808513141,64
0.547820249,406,28:31.0,31:09.4,2.638764314,64
0.249267347,407,28:32.6,31:19.8,2.786028715,64
0.238323511,408,28:33.6,31:34.3,3.01273609,64
0.180863721,409,28:37.5,31:27.1,2.827208197,64
0.617649547,410,28:42.0,31:19.1,2.617873689,64
0.606559592,411,28:42.4,31:36.6,2.90222218,64
0.510686448,412,28:45.5,31:38.6,2.884917831,64
0.340261636,413,28:48.6,31:53.6,3.083007685,64
0.047517101,414,28:48.7,31:42.7,2.898541387,64
0.033624172,415,28:50.8,31:57.1,3.105721684,64
0.283498252,416,28:51.5,31:30.8,2.654567615,64
0.11856998,417,28:53.1,31:34.7,2.693345837,64
0.338428181,418,28:54.3,31:43.0,2.811418335,64
0.333189077,419,28:55.0,31:46.1,2.851373804,64
0.081214731,420,28:56.2,31:40.3,2.734365066,64
0.369337486,421,28:58.8,31:56.0,2.951952716,64
1.09777396,422,29:01.3,31:50.8,2.82453417,64
0.487368584,423,29:02.2,31:52.3,2.833679406,64
0.186614813,424,29:03.2,31:50.3,2.784349489,64
0.392598068,425,29:03.7,32:04.8,3.01917754,64
0.316520567,426,29:09.3,32:18.9,3.159348321,64
1.20857415,427,29:12.1,32:21.7,3.16005125,64
1.10693086,428,29:13.0,31:57.5,2.742002185,64
0.859886392,429,29:19.3,32:05.3,2.767939381,64
0.534034946,430,29:20.3,32:13.0,2.879828334,64
0.249238479,431,29:20.7,32:23.1,3.038959503,64
0.191562014,432,29:26.2,32:31.9,3.095712161,64
0.688450251,433,29:27.3,32:21.3,2.90105135,64
2.798277975,434,29:29.4,32:40.8,3.190625779,64
0.168296217,435,29:35.1,32:23.7,2.810485156,64
0.201620965,436,29:38.6,32:24.1,2.757451383,64
0.071587386,437,29:40.5,32:41.1,3.009802318,64
0.027715267,438,29:41.8,33:03.7,3.364366559,64
0.289353459,439,29:49.7,32:38.3,2.810223484,64
0.307648102,440,29:58.8,32:33.5,2.577079892,64
0.376811613,441,30:03.4,33:08.2,3.079485027,64
0.155873494,442,30:05.7,32:49.5,2.730835144,64
0.897087121,443,30:06.3,32:40.1,2.564126801,64
0.322030211,444,30:09.9,32:51.0,2.684474989,64
0.349182345,445,30:12.5,33:18.3,3.09769642,64
0.187541481,446,30:12.7,33:06.1,2.890125783,64
0.644105015,447,30:15.5,33:00.9,2.755777947,64
0.065751505,448,30:25.4,33:23.2,2.962650498,64
0.09332365,449,30:26.2,33:01.5,2.587413283,64
0.338257884,450,30:30.8,33:39.5,3.144889152,64
0.232847451,451,30:31.1,33:05.0,2.566007658,64
0.8503881,452,30:31.3,33:18.6,2.788030299,64
0.291927739,453,30:34.3,33:11.5,2.620620966,64
0.185557415,454,30:36.3,33:23.4,2.784372771,64
0.382781046,455,30:40.0,33:17.1,2.618271959,64
0.418028922,456,30:44.6,33:22.1,2.624348887,64
0.445804579,457,30:45.0,33:24.8,2.663208592,64
0.200949484,458,30:48.2,33:23.9,2.59449627,64
0.656061786,459,30:52.4,33:36.9,2.741517591,64
0.585731642,460,30:52.8,33:49.4,2.943675848,64
0.096330672,461,30:55.2,33:46.7,2.858120565,64
0.22183006,462,30:55.2,33:35.0,2.663374309,64
0.43878083,463,30:57.5,33:34.9,2.622341021,64
0.488533884,464,30:58.7,33:39.8,2.685549394,64
1.494792763,465,31:04.5,33:42.8,2.638166738,64
0.143645667,466,31:05.2,33:42.1,2.614075561,64
0.774942195,467,31:09.4,33:47.0,2.626857595,64
0.228784628,468,31:17.8,34:00.3,2.708464293,64
0.232059854,469,31:19.1,33:55.3,2.604051534,64
0.114111311,470,31:19.8,34:04.2,2.73929249,64
0.403716985,471,31:20.7,34:08.8,2.8016704,64
0.171517965,472,31:27.1,34:14.3,2.786656372,64
0.662544276,473,31:30.8,34:20.4,2.82686698,64
0.176431257,474,31:34.4,34:23.8,2.823589766,64
0.359048254,475,31:34.7,34:12.4,2.627247739,64
0.56819046,476,31:36.6,34:15.6,2.64959118,64
0.184076731,477,31:38.6,34:35.1,2.942584066,64
1.655524503,478,31:40.3,34:37.6,2.954777539,64
2.435585637,479,31:42.7,34:39.9,2.953818667,64
0.107387309,480,31:43.0,34:41.9,2.980323509,64
0.09846052,481,31:46.1,34:33.0,2.781612039,64
0.224639388,482,31:50.3,34:40.8,2.841644625,64
1.464799382,483,31:50.8,34:41.7,2.847798475,64
0.142931027,484,31:52.3,34:31.0,2.645794106,64
0.315905629,485,31:53.6,34:43.2,2.826261822,64
1.690534474,486,31:56.0,34:51.8,2.930713228,64
0.818179397,487,31:57.1,34:54.3,2.953239965,64
0.361278292,488,31:57.5,34:42.6,2.751185608,64
0.694106579,489,32:04.8,34:57.6,2.879837628,64
0.116472469,490,32:05.4,35:08.1,3.045357537,64
0.128212332,491,32:13.1,35:02.7,2.827205292,64
0.557811505,492,32:18.9,35:20.4,3.024508731,64
0.860428373,493,32:21.4,35:21.3,2.999031369,64
0.444096827,494,32:21.7,35:34.5,3.213010192,64
0.216469463,495,32:23.1,35:25.4,3.038417733,64
0.260257299,496,32:23.7,35:13.8,2.835026566,64
