"University","Men","Women"
"Seton Hall",8977,872
"SFA",2654,1446
"Siena",6415,673
"SIUE",1245,533
"SMU",3916,683
"South Alabama",2315,445
"South Carolina",10470,12942
"South Carolina St.",520,401
"South Dakota",2029,1775
"South Dakota St.",2289,1709
"South Fla.",3142,3010
"Southeast Mo. St.",1580,656
"Southeastern La.",861,440
"Southern California",4160,1037
"Southern Ill.",5034,685
"Southern Miss.",3768,1800
"Southern U.",4521,2336
"Southern Utah",1945,586
"St. Bonaventure",3764,196
"St. Francis Brooklyn",222,165
"St. John's (NY)",7379,582
"Stanford",3518,4106
"Stetson",645,313
"Stony Brook",2177,728
"Syracuse",19102,2402
"TCU",6192,1713
"Temple",5107,1965
"Tennessee",18781,8150
"Tennessee St.",2792,1040
"Tennessee Tech",1215,1262
"Texas",10550,5794
"Texas A&M",9280,3395
"Texas Southern",2536,1000
"Texas St.",1876,914
"Texas Tech",13222,4923
"Toledo",4829,4178
"Towson",2252,749
"Troy",3036,2238
"Tulane",1188,617
"Tulsa",3972,1292
"UAB",3974,406
"Ualbany",1247,801
"UC Davis",1248,540
"UC Irvine",2551,688
"UC Riverside",706,164
"UC Santa Barbara",1966,399
"UCF",5274,2044
"UCLA",9276,3753
"Uconn",11446,10255
"UIC",1781,974
"UIW",351,266
"ULM",1807,1150
"UMass Lowell",899,649
"UMBC",1605,719
"UMES",845,327
"UNC Asheville",1474,486
"UNC Greensboro",1410,396
"UNCW",4048,788
"UNI",3426,2031
"UNLV",6063,2138
"USC Upstate",484,266
"UT Arlington",1449,882
"UT Martin",1534,1437
"Utah",6709,3628
"Utah St.",7604,501
"Utah Valley",2514,345
"UTEP",4552,998
"UTRGV",1407,793
"UTSA",1051,796
"Valparaiso",1625,353
"Vanderbilt",8106,2415
"VCU",7303,826
"Vermont",2366,949
"Villanova",9931,2541
"Virginia",14219,3489
"Virginia Tech",8431,3638
"Wagner",766,270
"Wake Forest",8331,1012
"Washington",6992,2348
"Washington St.",3341,902
"Weber St.",5149,425
"West Virginia",12004,2176
"Western Caro.",1797,540
"Western Ill.",719,550
"Western Ky.",4026,1012
"Western Mich.",1775,805
"Wichita St.",7137,1372
"William & Mary",2632,681
"Winthrop",1121,149
"Wisconsin",14151,3671
"Wofford",1268,593
"Wright St.",3686,948
"Wyoming",4207,2599
"Xavier",10286,753
"Yale",1274,424
"Youngstown St.",3053,1624
