"b","Start.Time","Current.Time","Duration.Time.DS","DS.Rejection","DS.TS","cores"
5,2025-06-21 19:35:59.102334,2025-06-21 19:35:59.7429,0.640011072158813,1,462.777697007463,8
1,2025-06-21 19:35:59.102409,2025-06-21 19:35:59.780898,0.677371978759766,1,646.825597092504,8
6,2025-06-21 19:35:59.101691,2025-06-21 19:35:59.792949,0.690726041793823,1,128.658191699407,8
7,2025-06-21 19:35:59.105435,2025-06-21 19:35:59.807234,0.701249837875366,1,222.85080253754,8
3,2025-06-21 19:35:59.105465,2025-06-21 19:35:59.813855,0.707842826843262,1,375.914604099413,8
2,2025-06-21 19:35:59.101395,2025-06-21 19:35:59.820892,0.718329906463623,1,32.6585536894037,8
4,2025-06-21 19:35:59.10451,2025-06-21 19:35:59.860801,0.755743026733398,1,27.5513442755221,8
8,2025-06-21 19:35:59.781262,2025-06-21 19:36:00.542967,0.761590957641602,1,600.554617536342,8
12,2025-06-21 19:35:59.847741,2025-06-21 19:36:00.596003,0.748208045959473,1,31.730430587445,8
10,2025-06-21 19:35:59.833872,2025-06-21 19:36:00.600517,0.766323089599609,1,311.734023010844,8
11,2025-06-21 19:35:59.856851,2025-06-21 19:36:00.594856,0.737957000732422,1,249.807067709083,8
13,2025-06-21 19:35:59.866837,2025-06-21 19:36:00.614295,0.747406005859375,1,2480.61489180162,8
9,2025-06-21 19:35:59.811768,2025-06-21 19:36:00.676042,0.86422610282898,1,554.659323738884,8
14,2025-06-21 19:35:59.913881,2025-06-21 19:36:00.758949,0.845015048980713,1,319.574415379266,8
15,2025-06-21 19:36:00.56381,2025-06-21 19:36:01.170372,0.606508016586304,1,194.958103381069,8
18,2025-06-21 19:36:00.617499,2025-06-21 19:36:01.235527,0.617979049682617,1,661.569551493264,8
19,2025-06-21 19:36:00.626947,2025-06-21 19:36:01.250506,0.623507022857666,1,40.4955943524303,8
16,2025-06-21 19:36:00.612394,2025-06-21 19:36:01.272965,0.66043496131897,1,773.466702695159,8
17,2025-06-21 19:36:00.61616,2025-06-21 19:36:01.328748,0.712537050247192,1,39.9749933154773,8
20,2025-06-21 19:36:00.696877,2025-06-21 19:36:01.359773,0.662775039672852,1,278.074808064229,8
21,2025-06-21 19:36:00.777825,2025-06-21 19:36:01.372529,0.594581842422485,1,374.100438431434,8
22,2025-06-21 19:36:01.189592,2025-06-21 19:36:01.827821,0.638166904449463,1,92.4837891408576,8
23,2025-06-21 19:36:01.248291,2025-06-21 19:36:01.925593,0.677167177200317,1,170.908923699268,8
24,2025-06-21 19:36:01.271642,2025-06-21 19:36:01.959436,0.687726020812988,1,174.13909950915,8
25,2025-06-21 19:36:01.282884,2025-06-21 19:36:01.984263,0.7013258934021,1,168.074839949698,8
26,2025-06-21 19:36:01.343349,2025-06-21 19:36:02.019831,0.676423072814941,1,257.333593888402,8
27,2025-06-21 19:36:01.374585,2025-06-21 19:36:02.021764,0.647129058837891,1,37.0677633215979,8
28,2025-06-21 19:36:01.401672,2025-06-21 19:36:02.049394,0.647608041763306,1,49.3509529029754,8
29,2025-06-21 19:36:01.848947,2025-06-21 19:36:02.503334,0.654276132583618,1,369.934557152053,8
30,2025-06-21 19:36:01.94961,2025-06-21 19:36:02.562244,0.612582921981812,1,539.535660052355,8
32,2025-06-21 19:36:01.995127,2025-06-21 19:36:02.61165,0.616466045379639,1,333.06676389651,8
31,2025-06-21 19:36:01.982408,2025-06-21 19:36:02.611641,0.629178047180176,1,324.920057606366,8
33,2025-06-21 19:36:02.04593,2025-06-21 19:36:02.692441,0.646451950073242,1,314.407424941686,8
34,2025-06-21 19:36:02.049074,2025-06-21 19:36:02.694054,0.644914150238037,1,130.057032641286,8
35,2025-06-21 19:36:02.069142,2025-06-21 19:36:02.756479,0.687222957611084,1,63.1520627155162,8
36,2025-06-21 19:36:02.521372,2025-06-21 19:36:03.256418,0.734992027282715,1,192.303792781597,8
38,2025-06-21 19:36:02.621877,2025-06-21 19:36:03.308619,0.686684846878052,1,449.183043940472,8
37,2025-06-21 19:36:02.580556,2025-06-21 19:36:03.313369,0.732754945755005,1,139.362278884427,8
39,2025-06-21 19:36:02.623524,2025-06-21 19:36:03.324075,0.700467109680176,1,535.392144861504,8
41,2025-06-21 19:36:02.718658,2025-06-21 19:36:03.387453,0.668736219406128,1,302.853598589489,8
40,2025-06-21 19:36:02.712729,2025-06-21 19:36:03.39981,0.687026977539062,1,394.802964912962,8
42,2025-06-21 19:36:02.774227,2025-06-21 19:36:03.433576,0.659276962280273,1,446.335192477027,8
45,2025-06-21 19:36:03.329254,2025-06-21 19:36:03.901785,0.572479963302612,1,181.498705762271,8
43,2025-06-21 19:36:03.277758,2025-06-21 19:36:03.907893,0.630007982254028,1,121.57547845876,8
44,2025-06-21 19:36:03.323585,2025-06-21 19:36:03.936557,0.612913131713867,1,780.180112459041,8
46,2025-06-21 19:36:03.340685,2025-06-21 19:36:03.959611,0.618810892105103,1,321.283752835143,8
47,2025-06-21 19:36:03.404906,2025-06-21 19:36:04.036289,0.631267070770264,1,264.035419707728,8
48,2025-06-21 19:36:03.421444,2025-06-21 19:36:04.093579,0.672076940536499,1,341.918019776761,8
49,2025-06-21 19:36:03.448585,2025-06-21 19:36:04.107177,0.658476114273071,1,44.849179657376,8
50,2025-06-21 19:36:03.920853,2025-06-21 19:36:04.540117,0.619204044342041,1,146.294162796844,8
51,2025-06-21 19:36:03.922356,2025-06-21 19:36:04.55936,0.636953115463257,1,236.245898007533,8
53,2025-06-21 19:36:03.979386,2025-06-21 19:36:04.560136,0.580694913864136,1,436.093811450806,8
52,2025-06-21 19:36:03.956682,2025-06-21 19:36:04.581364,0.62462306022644,1,103.022979534119,8
54,2025-06-21 19:36:04.05202,2025-06-21 19:36:04.62476,0.572685956954956,1,26.3415941456044,8
55,2025-06-21 19:36:04.113358,2025-06-21 19:36:04.729842,0.61642599105835,1,390.432529927527,8
56,2025-06-21 19:36:04.139956,2025-06-21 19:36:04.777573,0.637558937072754,1,852.871065198781,8
59,2025-06-21 19:36:04.572235,2025-06-21 19:36:05.144705,0.572407960891724,1,284.716433862974,8
58,2025-06-21 19:36:04.572017,2025-06-21 19:36:05.162205,0.590128898620605,1,169.261633964728,8
